crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[0.8096829652786255, -1.725829839706421, -0.8765502572059631]",train,"[0.7908658981323242, 0.06265324354171753, 0.14648091793060303]",0,0,sub-037,0,499.0
00000849.npy,"[0.25720226764678955, -0.9985466003417969, -0.5305663347244263]",train,"[0.5748047828674316, 0.16374029219150543, 0.26145491003990173]",0,0,sub-037,500,999.0
00000850.npy,"[0.5336049795150757, -1.2514716386795044, -0.46592164039611816]",train,"[0.6511104106903076, 0.10924603790044785, 0.23964352905750275]",0,0,sub-037,1000,1499.0
00000851.npy,"[0.7744767069816589, -1.3483164310455322, -0.5232107639312744]",train,"[0.7179474830627441, 0.0859360322356224, 0.19611650705337524]",0,0,sub-037,1500,1999.0
00000852.npy,"[0.8389663100242615, -0.8603789806365967, -0.6370053291320801]",train,"[0.7085366249084473, 0.12952272593975067, 0.16194066405296326]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.07470438629388809, 0.20507919788360596, -0.26005426049232483]",train,"[0.3502914011478424, 0.3990713357925415, 0.2506372630596161]",1,0,sub-037,2500,2999.0
00000854.npy,"[0.23325739800930023, -1.0003716945648193, -0.6999228596687317]",train,"[0.5936357378959656, 0.17288675904273987, 0.23347748816013336]",0,0,sub-037,3000,3499.0
00000855.npy,"[-0.21731585264205933, 0.015940504148602486, -0.05024164170026779]",train,"[0.2903138995170593, 0.36658087372779846, 0.3431051969528198]",1,0,sub-037,3500,3999.0
00000856.npy,"[0.7265677452087402, -1.167512059211731, -1.041826844215393]",train,"[0.7569659948348999, 0.1138906255364418, 0.12914344668388367]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.044761110097169876, -0.48565736413002014, -0.20170694589614868]",train,"[0.42195606231689453, 0.24826154112815857, 0.3297824263572693]",0,0,sub-037,4500,4999.0
00000858.npy,"[0.9705146551132202, -1.962171196937561, -0.901737630367279]",train,"[0.8284793496131897, 0.04411968216300011, 0.12740100920200348]",0,0,sub-037,5000,5499.0
00000859.npy,"[1.3414664268493652, -3.1404361724853516, -1.496261715888977]",train,"[0.9346925616264343, 0.010573121719062328, 0.0547342486679554]",0,0,sub-037,5500,5999.0
